index,date,federal_state_id,federal_state_name,professional_area_ID,professional_area,number_of_unemployed,number_of_job _seekers,reported_open_positions,reported_open_positions_moving_annual_total
1,15/01/2019,,Schleswig-Holstein,,Gesamt,"43,266","74,028","19,129","58,570"
2,15/01/2019,,Schleswig-Holstein,11,"Land-, Tier-, Forstwirtschaftsberufe",334,531,82,305
3,15/01/2019,,Schleswig-Holstein,111,Landwirtschaft,123,202,31,127
4,15/01/2019,,Schleswig-Holstein,1110,Berufe in der Landwirtschaft (o.S.),101,162,29,110
5,15/01/2019,,Schleswig-Holstein,11102,Landwirtschaft (o.S.) - Fachkraft,65,97,26,93
6,15/01/2019,,Schleswig-Holstein,11103,Landwirtschaft (o.S.) - Spezialist,7,11,- ,- 
7,15/01/2019,,Schleswig-Holstein,11104,Landwirtschaft (o.S.) - Experte,29,54,3,17
8,15/01/2019,,Schleswig-Holstein,1113,Berufe landwirtsch.-techn. Laboratorium,3,9,- ,6
9,15/01/2019,,Schleswig-Holstein,11132,Landwirtsch.-tech.Laboratorium-Fachkraft,3,9,- ,5
10,15/01/2019,,Schleswig-Holstein,1118,Berufe in der Landwirtschaft (s.s.T.),7,9,- ,- 
11,15/01/2019,,Schleswig-Holstein,11184,Landwirtschaft (s.s.T.) - Experte,6,8,- ,- 
12,15/01/2019,,Schleswig-Holstein,1119,Aufsicht und Führung - Landwirtschaft,11,20,* ,10
13,15/01/2019,,Schleswig-Holstein,11193,Aufsicht - Landwirtschaft,6,8,* ,9
14,15/01/2019,,Schleswig-Holstein,11194,Führung - Landwirtschaft,5,12,- ,* 
15,15/01/2019,,Schleswig-Holstein,112,Tierwirtschaft,26,45,15,38
16,15/01/2019,,Schleswig-Holstein,1121,Berufe in der Nutztierhaltung,22,40,13,33
17,15/01/2019,,Schleswig-Holstein,11212,Nutztierhaltung - Fachkraft,20,37,10,27
18,15/01/2019,,Schleswig-Holstein,1128,Berufe in der Tierwirtschaft (s.s.T.),3,3,- ,3
19,15/01/2019,,Schleswig-Holstein,11283,Tierwirtschaft (s.s.T.) - Spezialist,3,3,- ,3
20,15/01/2019,,Schleswig-Holstein,113,Pferdewirtschaft,72,116,19,58
21,15/01/2019,,Schleswig-Holstein,1130,Berufe in der Pferdewirtschaft (o.S.),45,73,11,43
22,15/01/2019,,Schleswig-Holstein,11302,Pferdewirtschaft (o.S.) - Fachkraft,45,73,11,43
23,15/01/2019,,Schleswig-Holstein,1131,Berufe i.d. Pferdewirtschaft-Pferdezucht,7,10,- ,5
24,15/01/2019,,Schleswig-Holstein,11312,Pferdewirtschaft-Pferdezucht - Fachkraft,7,10,- ,5
25,15/01/2019,,Schleswig-Holstein,1132,Berufe in der Pferdewirtschaft - Reiten,13,18,8,9
26,15/01/2019,,Schleswig-Holstein,11322,Pferdewirtschaft-Reiten - Fachkraft,13,18,8,9
27,15/01/2019,,Schleswig-Holstein,1133,Hufbeschlagschmiede/-schmiedinnen,4,9,- ,- 
28,15/01/2019,,Schleswig-Holstein,11333,Hufbeschlagschmiede/innen - Spezialist,4,9,- ,- 
29,15/01/2019,,Schleswig-Holstein,1139,Aufsicht und Führung - Pferdewirtschaft,3,5,- ,* 
30,15/01/2019,,Schleswig-Holstein,114,Fischwirtschaft,54,63,3,10
31,15/01/2019,,Schleswig-Holstein,1141,Berufe in der Fischzucht,3,6,- ,* 
32,15/01/2019,,Schleswig-Holstein,11412,Fischzucht - Fachkraft,3,6,- ,* 
33,15/01/2019,,Schleswig-Holstein,1142,Berufe in der Fischerei,49,54,3,9
34,15/01/2019,,Schleswig-Holstein,11422,Fischerei - Fachkraft,48,53,3,9
35,15/01/2019,,Schleswig-Holstein,115,Tierpflege,41,72,7,37
36,15/01/2019,,Schleswig-Holstein,1152,"Berufe in der Haus-, Zootierpflege",38,63,6,23
37,15/01/2019,,Schleswig-Holstein,11522,"Haus-, Zootierpflege - Fachkraft",38,63,6,23
38,15/01/2019,,Schleswig-Holstein,1158,Berufe in der Tierpflege (s.s.T.),3,9,* ,4
39,15/01/2019,,Schleswig-Holstein,11582,Tierpflege (s.s.T.) - Fachkraft,3,9,* ,4
40,15/01/2019,,Schleswig-Holstein,117,"Forst-,Jagdwirtschaft, Landschaftspflege",18,33,7,35
41,15/01/2019,,Schleswig-Holstein,1171,Berufe in der Forstwirtschaft,10,16,5,26
42,15/01/2019,,Schleswig-Holstein,11712,Forstwirtschaft - Fachkraft,8,13,5,24
43,15/01/2019,,Schleswig-Holstein,1172,"Berufe in der Natur-, Landschaftspflege",6,15,* ,9
44,15/01/2019,,Schleswig-Holstein,11723,"Natur-, Landschaftspflege - Spezialist",5,10,- ,* 
45,15/01/2019,,Schleswig-Holstein,12,"Gartenbauberufe, Floristik",540,807,276,823
46,15/01/2019,,Schleswig-Holstein,121,Gartenbau,446,612,217,617
47,15/01/2019,,Schleswig-Holstein,1210,Berufe im Gartenbau (o.S.),10,14,* ,10
48,15/01/2019,,Schleswig-Holstein,12102,Berufe im Gartenbau (o.S.) - Fachkraft,7,10,- ,5
49,15/01/2019,,Schleswig-Holstein,12104,Berufe im Gartenbau (o.S.) - Experte,3,4,* ,5
50,15/01/2019,,Schleswig-Holstein,1211,"Berufe im Obst-, Gemüsebau",12,17,- ,* 
51,15/01/2019,,Schleswig-Holstein,12112,"Berufe im Obst-, Gemüsebau - Fachkraft",12,17,- ,* 
52,15/01/2019,,Schleswig-Holstein,1212,"Berufe BaumschuleStauden,Zierpflanzenbau",123,160,21,55
53,15/01/2019,,Schleswig-Holstein,12122,"BaumschuleStauden,Zierpflanzen-Fachkraft",123,160,21,55
54,15/01/2019,,Schleswig-Holstein,1213,Berufe in der Friedhofsgärtnerei,65,75,* ,17
55,15/01/2019,,Schleswig-Holstein,12132,Friedhofsgärtnerei - Fachkraft,65,75,* ,17
56,15/01/2019,,Schleswig-Holstein,1214,"Berufe Garten-,Landschafts,Sportplatzbau",222,323,181,496
57,15/01/2019,,Schleswig-Holstein,12142,GartenLandschaftsSportplatzb.-Fachkraft,195,282,163,449
58,15/01/2019,,Schleswig-Holstein,12143,GartenLandschaftsSportplatzb.-Spezialist,23,31,10,20
59,15/01/2019,,Schleswig-Holstein,12144,"Garten-Landschafts,Sportplatzbau-Experte",4,10,8,27
60,15/01/2019,,Schleswig-Holstein,1219,Aufsicht und Führung - Gartenbau,14,23,11,37
61,15/01/2019,,Schleswig-Holstein,12193,Aufsicht - Gartenbau,13,22,11,37
62,15/01/2019,,Schleswig-Holstein,122,Floristik,94,195,59,206
63,15/01/2019,,Schleswig-Holstein,1220,Berufe in der Floristik,92,192,58,206
64,15/01/2019,,Schleswig-Holstein,12202,Floristik - Fachkraft,91,188,58,206
65,15/01/2019,,Schleswig-Holstein,21,"Rohstoffgewinn,Glas-,Keramikverarbeitung",33,47,26,40
66,15/01/2019,,Schleswig-Holstein,211,"Berg-, Tagebau und Sprengtechnik",5,10,- ,* 
67,15/01/2019,,Schleswig-Holstein,2111,Berufe im Berg- und Tagebau,4,9,- ,* 
68,15/01/2019,,Schleswig-Holstein,21114,Berg- und Tagebau - Experte,3,5,- ,- 
69,15/01/2019,,Schleswig-Holstein,212,"Naturstein-,Mineral-,Baustoffherstell.",23,28,21,28
70,15/01/2019,,Schleswig-Holstein,2121,"Berufe Naturstein-,Mineralaufbereitung",3,5,- ,- 
71,15/01/2019,,Schleswig-Holstein,21212,"Naturstein-,Mineralaufbereit.-Fachkraft",3,5,- ,- 
72,15/01/2019,,Schleswig-Holstein,2122,Berufe in der Baustoffherstellung,8,9,15,24
73,15/01/2019,,Schleswig-Holstein,21222,Baustoffherstellung - Fachkraft,8,9,15,24
74,15/01/2019,,Schleswig-Holstein,2123,Berufe in der Steinmetztechnik,11,13,4,4
75,15/01/2019,,Schleswig-Holstein,21232,Steinmetztechnik - Fachkraft,11,13,4,4
76,15/01/2019,,Schleswig-Holstein,213,"Industrielle Glasherstell.,-verarbeitung",4,7,5,10
77,15/01/2019,,Schleswig-Holstein,22,"Kunststoff- u. Holzherst.,-verarbeitung",433,700,389,973
78,15/01/2019,,Schleswig-Holstein,221,"Kunststoff,Kautschukherstell.,verarbeit",36,57,35,126
79,15/01/2019,,Schleswig-Holstein,2210,"Kunststoff-,Kautschukherstellung (o.S.)",12,20,16,43
80,15/01/2019,,Schleswig-Holstein,22102,"Kunststoff-,Kautschukherst(oS)-Fachkraft",12,20,15,40
81,15/01/2019,,Schleswig-Holstein,2211,"Berufe i.d.Reifen-,Vulkanisationstechnik",22,34,19,83
82,15/01/2019,,Schleswig-Holstein,22112,"Reifen-, Vulkanisationstechnik-Fachkraft",22,34,19,83
83,15/01/2019,,Schleswig-Holstein,222,Farb- und Lacktechnik,69,116,69,176
84,15/01/2019,,Schleswig-Holstein,2220,"Berufe in der Farb-, Lacktechnik (o.S.)",5,13,24,77
85,15/01/2019,,Schleswig-Holstein,22202,"Farb-, Lacktechnik (o.S.) - Fachkraft",4,12,22,76
86,15/01/2019,,Schleswig-Holstein,2221,Berufe in der Fahrzeuglackierung,61,100,45,99
87,15/01/2019,,Schleswig-Holstein,22212,Fahrzeuglackierung - Fachkraft,61,100,45,99
88,15/01/2019,,Schleswig-Holstein,223,Holzbe- und -verarbeitung,328,527,285,671
89,15/01/2019,,Schleswig-Holstein,2230,"Berufe i.d. Holzbe-,-verarbeitung (o.S.)",12,17,4,6
90,15/01/2019,,Schleswig-Holstein,22302,"Holzbe-,-verarbeitung (o.S.) - Fachkraft",9,12,* ,* 
91,15/01/2019,,Schleswig-Holstein,22303,"Holzbe-,-verarbeitung(o.S.) - Spezialist",3,5,* ,4
92,15/01/2019,,Schleswig-Holstein,2232,"Produktion v. Holzwerkstoffen,-bauteilen",5,5,- ,- 
93,15/01/2019,,Schleswig-Holstein,22322,"Prod. Holzwerkstoffe,-bauteile-Fachkraft",5,5,- ,- 
94,15/01/2019,,Schleswig-Holstein,2233,Produktion v. Fertigprodukten aus Holz,3,4,* ,4
95,15/01/2019,,Schleswig-Holstein,22332,Prod. Fertigprodukte aus Holz -Fachkraft,3,4,* ,4
96,15/01/2019,,Schleswig-Holstein,2234,"Berufe im Holz-, Möbel-, Innenausbau",286,470,276,644
97,15/01/2019,,Schleswig-Holstein,22342,"Holz-, Möbel-, Innenausbau - Fachkraft",280,459,261,636
98,15/01/2019,,Schleswig-Holstein,22343,"Holz-, Möbel-, Innenausbau - Spezialist",6,11,15,8
99,15/01/2019,,Schleswig-Holstein,2235,"FlechtwerkgestalterBürsten-,Pinselmacher",4,5,- ,- 
100,15/01/2019,,Schleswig-Holstein,22352,"Flechtwerk,Bürste,Pinselmacher-Fachkraft",4,5,- ,- 
101,15/01/2019,,Schleswig-Holstein,2239,"Aufsicht,Führung - Holzbe-,-verarbeitung",18,26,4,17
102,15/01/2019,,Schleswig-Holstein,22393,"Aufsicht - Holzbe-, -verarbeitung",18,25,4,17
103,15/01/2019,,Schleswig-Holstein,23,"Papier-,Druckberufe, tech.Mediengestalt.",471,786,69,258
104,15/01/2019,,Schleswig-Holstein,231,Papier- und Verpackungstechnik,21,30,8,27
105,15/01/2019,,Schleswig-Holstein,2311,Berufe in der Papierherstellung,6,8,- ,* 
106,15/01/2019,,Schleswig-Holstein,23112,Papierherstellung - Fachkraft,6,8,- ,* 
107,15/01/2019,,Schleswig-Holstein,2312,"Berufe Papierverarb., Verpackungstechnik",13,20,8,25
108,15/01/2019,,Schleswig-Holstein,23122,"Papierverarb,Verpackungstechn.-Fachkraft",11,17,8,23
109,15/01/2019,,Schleswig-Holstein,232,Technische Mediengestaltung,313,528,31,139
110,15/01/2019,,Schleswig-Holstein,2321,"Berufe Digital-, Printmediengestaltung",127,210,20,85
111,15/01/2019,,Schleswig-Holstein,23212,"Digital-,Printmediengestaltung-Fachkraft",107,184,19,81
112,15/01/2019,,Schleswig-Holstein,23213,"Digital,Printmediengestaltung-Spezialist",20,26,* ,4
113,15/01/2019,,Schleswig-Holstein,2322,"Berufe Grafik-Kommunikations-,Fotodesign",172,295,11,51
114,15/01/2019,,Schleswig-Holstein,23222,"Grafik-Kommunikat.,Fotodesign-Fachkraft",26,47,* ,6
115,15/01/2019,,Schleswig-Holstein,23223,"Grafik-Kommunikat.,Fotodesign-Spezialist",97,172,7,40
116,15/01/2019,,Schleswig-Holstein,23224,"Grafik-Kommunikat.,Fotodesign-Experte",49,76,3,5
117,15/01/2019,,Schleswig-Holstein,2329,"Aufsicht,Führung-Techn. Mediengestaltung",14,23,- ,3
118,15/01/2019,,Schleswig-Holstein,23294,Führung - Technische Mediengestaltung,14,23,- ,3
119,15/01/2019,,Schleswig-Holstein,233,Fototechnik und Fotografie,68,112,7,32
120,15/01/2019,,Schleswig-Holstein,2331,Berufe in der Fototechnik,7,11,- ,3
121,15/01/2019,,Schleswig-Holstein,23312,Fototechnik - Fachkraft,6,9,- ,* 
122,15/01/2019,,Schleswig-Holstein,2332,Berufe in der Fotografie,61,101,7,27
123,15/01/2019,,Schleswig-Holstein,23322,Fotografie - Fachkraft,61,101,7,27
124,15/01/2019,,Schleswig-Holstein,234,"Drucktechnik,-weiterverarb.,Buchbinderei",69,116,23,60
125,15/01/2019,,Schleswig-Holstein,2341,Berufe in der Drucktechnik,54,88,16,36
126,15/01/2019,,Schleswig-Holstein,23412,Drucktechnik - Fachkraft,51,83,14,34
127,15/01/2019,,Schleswig-Holstein,23413,Drucktechnik - Spezialist,3,5,* ,* 
128,15/01/2019,,Schleswig-Holstein,2342,"Berufe Buchbinderei, Druckweiterverarb.",15,26,7,24
129,15/01/2019,,Schleswig-Holstein,23422,"Buchbinderei,Druckweiterverarb-Fachkraft",13,23,6,23
130,15/01/2019,,Schleswig-Holstein,24,"Metallerzeugung,-bearbeitung, Metallbau",621,"1,080",875,"2,155"
131,15/01/2019,,Schleswig-Holstein,241,Metallerzeugung,3,9,26,47
132,15/01/2019,,Schleswig-Holstein,242,Metallbearbeitung,208,353,400,"1,042"
133,15/01/2019,,Schleswig-Holstein,2420,Berufe in der Metallbearbeitung (o.S.),67,118,37,103
134,15/01/2019,,Schleswig-Holstein,24202,Metallbearbeitung (o.S.) - Fachkraft,65,116,37,102
135,15/01/2019,,Schleswig-Holstein,2422,Berufe i.d. schleifenden Metallbearbeit.,27,33,14,50
136,15/01/2019,,Schleswig-Holstein,24222,Schleifende Metallbearbeitung-Fachkraft,27,33,14,50
137,15/01/2019,,Schleswig-Holstein,2423,Berufe i.d. spanenden Metallbearbeitung,101,169,340,868
138,15/01/2019,,Schleswig-Holstein,24232,Spanende Metallbearbeitung - Fachkraft,88,150,328,830
139,15/01/2019,,Schleswig-Holstein,24233,Spanende Metallbearbeitung - Spezialist,13,19,12,38
140,15/01/2019,,Schleswig-Holstein,2429,Aufsicht - Metallbearbeitung,11,22,7,14
141,15/01/2019,,Schleswig-Holstein,24293,Aufsicht - Metallbearbeitung,11,22,7,14
142,15/01/2019,,Schleswig-Holstein,243,Metalloberflächenbehandlung,16,26,9,26
143,15/01/2019,,Schleswig-Holstein,2430,Berufe Metalloberflächenbehandlung (o.S),16,25,9,26
144,15/01/2019,,Schleswig-Holstein,24302,Metalloberflächenbehandl.(oS)-Fachkraft,15,24,9,26
145,15/01/2019,,Schleswig-Holstein,244,Metallbau und Schweißtechnik,326,571,386,877
146,15/01/2019,,Schleswig-Holstein,2441,Berufe im Metallbau,144,259,235,516
