semester,federal_state,study_code,study_subject,total_males,total_females,total_all
WT 2021/22,Baden-Württemberg,SF138,Agricultural Biology,24,29,53
WT 2021/22,Baden-Württemberg,SF125,Agricultural Economics,7,11,18
WT 2021/22,Baden-Württemberg,SF003,Agricultural Science/Agriculture,126,178,304
WT 2021/22,Baden-Württemberg,SF001,Egyptology,7,11,18
WT 2021/22,Baden-Württemberg,SF152,General Linguistics/Indo-European Studies,25,71,96
WT 2021/22,Baden-Württemberg,SF188,General Literary Studies,13,55,68
WT 2021/22,Baden-Württemberg,SF272,Ancient History,7,9,16
WT 2021/22,Baden-Württemberg,SF006,American Studies,43,100,143
WT 2021/22,Baden-Württemberg,SF284,Applied Linguistics,6,17,23
WT 2021/22,Baden-Württemberg,SF140,Applied Systems Science,18,7,25
WT 2021/22,Baden-Württemberg,SF008,English Studies,213,616,829
WT 2021/22,Baden-Württemberg,SF011,Work Studies/Business Studies,17,42,59
WT 2021/22,Baden-Württemberg,SF257,Occupational Guidance and Career Counselling,16,62,78
WT 2021/22,Baden-Württemberg,SF258,Labour Administration,41,102,143
WT 2021/22,Baden-Württemberg,SF012,Archaeology,37,57,94
WT 2021/22,Baden-Württemberg,SF013,Architecture,256,414,670
WT 2021/22,Baden-Württemberg,SF187,Asian Languages and Cultures/Asian Studies,9,18,27
WT 2021/22,Baden-Württemberg,SF014,Astrophysics and Astronomy,20,8,28
WT 2021/22,Baden-Württemberg,SF143,Ophthalmic Optics,11,21,32
WT 2021/22,Baden-Württemberg,SF017,Civil Engineering/Structural Engineering,617,244,861
WT 2021/22,Baden-Württemberg,SF270,"Vocational, Business and Economics Education",13,35,48
WT 2021/22,Baden-Württemberg,SF021,Business Administration,3358,3572,6930
WT 2021/22,Baden-Württemberg,SF023,Fine Arts/Graphics,8,14,22
WT 2021/22,Baden-Württemberg,SF205,Sculpting/Statuary Art,2,3,5
WT 2021/22,Baden-Württemberg,SF025,Biochemistry,81,173,254
WT 2021/22,Baden-Württemberg,SF221,Bioinformatics,26,15,41
WT 2021/22,Baden-Württemberg,SF026,Biology,389,799,1188
WT 2021/22,Baden-Württemberg,SF300,Biomedicine,10,38,48
WT 2021/22,Baden-Württemberg,SF282,Biotechnology,81,127,208
WT 2021/22,Baden-Württemberg,SF260,Armed Forces Administration,28,39,67
WT 2021/22,Baden-Württemberg,SF032,Chemistry,384,382,766
WT 2021/22,Baden-Württemberg,SF033,Chemical Engineering/Chemical Process Technology,146,96,242
WT 2021/22,Baden-Württemberg,SF160,Computer Linguistics,50,58,108
WT 2021/22,Baden-Württemberg,SF200,Computer and Communication Technology,53,24,77
WT 2021/22,Baden-Württemberg,SF035,Performing Arts/Stagecraft/Directing,10,23,33
WT 2021/22,Baden-Württemberg,SF271,German as a Foreign or Second Language,23,32,55
WT 2021/22,Baden-Württemberg,SF161,Pastoral Care Studies,1,5,6
