Year,Federal State,Degree,Gender,Value
2021,Deutschland,Total,Total,517944
2021,Deutschland,Total,Males,244160
2021,Deutschland,Total,Females,273784
2021,Deutschland,Bachelor,Total,257716
2021,Deutschland,Bachelor,Males,123782
2021,Deutschland,Bachelor,Females,133934
2021,Deutschland,Master,Total,144782
2021,Deutschland,Master,Males,76209
2021,Deutschland,Master,Females,68573
2021,Baden-Württemberg,Total,Total,80971
2021,Baden-Württemberg,Total,Males,39851
2021,Baden-Württemberg,Total,Females,41120
2021,Baden-Württemberg,Bachelor,Total,43297
2021,Baden-Württemberg,Bachelor,Males,22062
2021,Baden-Württemberg,Bachelor,Females,21235
2021,Baden-Württemberg,Master,Total,21105
2021,Baden-Württemberg,Master,Males,11692
2021,Baden-Württemberg,Master,Females,9413
2021,Bayern,Total,Total,78626
2021,Bayern,Total,Males,38727
2021,Bayern,Total,Females,39899
2021,Bayern,Bachelor,Total,37634
2021,Bayern,Bachelor,Males,18831
2021,Bayern,Bachelor,Females,18803
2021,Bayern,Master,Total,24331
2021,Bayern,Master,Males,13361
2021,Bayern,Master,Females,10970
2021,Berlin,Total,Total,33681
2021,Berlin,Total,Males,15134
2021,Berlin,Total,Females,18547
2021,Berlin,Bachelor,Total,15618
2021,Berlin,Bachelor,Males,7109
2021,Berlin,Bachelor,Females,8509
2021,Berlin,Master,Total,11377
2021,Berlin,Master,Males,5511
2021,Berlin,Master,Females,5866
2021,Brandenburg,Total,Total,8426
2021,Brandenburg,Total,Males,3701
2021,Brandenburg,Total,Females,4725
2021,Brandenburg,Bachelor,Total,3894
2021,Brandenburg,Bachelor,Males,1773
2021,Brandenburg,Bachelor,Females,2121
2021,Brandenburg,Master,Total,2733
2021,Brandenburg,Master,Males,1209
2021,Brandenburg,Master,Females,1524
2021,Bremen,Total,Total,6153
2021,Bremen,Total,Males,2836
2021,Bremen,Total,Females,3317
2021,Bremen,Bachelor,Total,3661
2021,Bremen,Bachelor,Males,1718
2021,Bremen,Bachelor,Females,1943
2021,Bremen,Master,Total,1555
2021,Bremen,Master,Males,841
2021,Bremen,Master,Females,714
2021,Hamburg,Total,Total,19082
2021,Hamburg,Total,Males,8810
2021,Hamburg,Total,Females,10272
2021,Hamburg,Bachelor,Total,10495
2021,Hamburg,Bachelor,Males,4962
2021,Hamburg,Bachelor,Females,5533
2021,Hamburg,Master,Total,5209
2021,Hamburg,Master,Males,2515
2021,Hamburg,Master,Females,2694
2021,Hessen,Total,Total,44376
2021,Hessen,Total,Males,20879
2021,Hessen,Total,Females,23497
2021,Hessen,Bachelor,Total,23502
2021,Hessen,Bachelor,Males,11010
2021,Hessen,Bachelor,Females,12492
2021,Hessen,Master,Total,12756
2021,Hessen,Master,Males,6685
2021,Hessen,Master,Females,6071
2021,Mecklenburg-Vorpommern,Total,Total,6945
2021,Mecklenburg-Vorpommern,Total,Males,3238
2021,Mecklenburg-Vorpommern,Total,Females,3707
2021,Mecklenburg-Vorpommern,Bachelor,Total,3071
2021,Mecklenburg-Vorpommern,Bachelor,Males,1371
2021,Mecklenburg-Vorpommern,Bachelor,Females,1700
2021,Mecklenburg-Vorpommern,Master,Total,2054
2021,Mecklenburg-Vorpommern,Master,Males,1099
2021,Mecklenburg-Vorpommern,Master,Females,955
2021,Niedersachsen,Total,Total,41211
2021,Niedersachsen,Total,Males,18875
2021,Niedersachsen,Total,Females,22336
2021,Niedersachsen,Bachelor,Total,21892
2021,Niedersachsen,Bachelor,Males,10139
2021,Niedersachsen,Bachelor,Females,11753
2021,Niedersachsen,Master,Total,10326
2021,Niedersachsen,Master,Males,5576
2021,Niedersachsen,Master,Females,4750
